"","mean_high_c:weekdayFALSE","mean_high_c:weekdayTRUE"
"2.5%",-0.00328358021687503,-0.00230244130009375
"50%",-0.00308184121768071,-0.00209006900039039
"97.5%",-0.00289614421724029,-0.00190779397244184
