"","weekendyr2020","weekdayyr2020","weekendyr2021","weekdayyr2021"
"2.5%",-0.00251394206362515,-0.000975425868468516,-0.0016566487512858,-0.0012281072738748
"50%",-0.0023135376444193,-0.000767124199609108,-0.00141887597512212,-0.000989864090708602
"97.5%",-0.00208991699276115,-0.00053201183673252,-0.00121153902567395,-0.000769181766481995
