Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
08/26/2020,02/01/2020,08/22/2020,AL,Autauga County,1001,19,287
08/26/2020,02/01/2020,08/22/2020,AL,Baldwin County,1003,38,1183
08/26/2020,02/01/2020,08/22/2020,AL,Butler County,1013,23,136
08/26/2020,02/01/2020,08/22/2020,AL,Calhoun County,1015,36,865
08/26/2020,02/01/2020,08/22/2020,AL,Clay County,1027,13,95
08/26/2020,02/01/2020,08/22/2020,AL,Colbert County,1033,24,355
08/26/2020,02/01/2020,08/22/2020,AL,Covington County,1039,48,325
08/26/2020,02/01/2020,08/22/2020,AL,Crenshaw County,1041,14,120
08/26/2020,02/01/2020,08/22/2020,AL,Cullman County,1043,19,575
08/26/2020,02/01/2020,08/22/2020,AL,Dale County,1045,44,287
08/26/2020,02/01/2020,08/22/2020,AL,Dallas County,1047,33,283
08/26/2020,02/01/2020,08/22/2020,AL,DeKalb County,1049,10,388
08/26/2020,02/01/2020,08/22/2020,AL,Elmore County,1051,29,403
08/26/2020,02/01/2020,08/22/2020,AL,Escambia County,1053,12,209
08/26/2020,02/01/2020,08/22/2020,AL,Etowah County,1055,72,920
08/26/2020,02/01/2020,08/22/2020,AL,Franklin County,1059,12,180
08/26/2020,02/01/2020,08/22/2020,AL,Houston County,1069,142,1143
08/26/2020,02/01/2020,08/22/2020,AL,Jefferson County,1073,405,5579
08/26/2020,02/01/2020,08/22/2020,AL,Lauderdale County,1077,32,794
08/26/2020,02/01/2020,08/22/2020,AL,Lee County,1081,111,750
08/26/2020,02/01/2020,08/22/2020,AL,Limestone County,1083,24,430
08/26/2020,02/01/2020,08/22/2020,AL,Madison County,1089,84,2306
08/26/2020,02/01/2020,08/22/2020,AL,Marengo County,1091,14,146
08/26/2020,02/01/2020,08/22/2020,AL,Marion County,1093,20,232
08/26/2020,02/01/2020,08/22/2020,AL,Marshall County,1095,41,686
08/26/2020,02/01/2020,08/22/2020,AL,Mobile County,1097,295,3058
08/26/2020,02/01/2020,08/22/2020,AL,Montgomery County,1101,266,1856
08/26/2020,02/01/2020,08/22/2020,AL,Morgan County,1103,32,761
08/26/2020,02/01/2020,08/22/2020,AL,Pike County,1109,12,169
08/26/2020,02/01/2020,08/22/2020,AL,St. Clair County,1115,14,454
08/26/2020,02/01/2020,08/22/2020,AL,Shelby County,1117,49,800
08/26/2020,02/01/2020,08/22/2020,AL,Talladega County,1121,10,459
08/26/2020,02/01/2020,08/22/2020,AL,Tallapoosa County,1123,62,327
08/26/2020,02/01/2020,08/22/2020,AL,Tuscaloosa County,1125,149,1333
08/26/2020,02/01/2020,08/22/2020,AL,Walker County,1127,50,585
08/26/2020,02/01/2020,08/22/2020,AL,Washington County,1129,10,79
08/26/2020,02/01/2020,08/22/2020,AK,Anchorage Borough,2020,20,1132
08/26/2020,02/01/2020,08/22/2020,AZ,Apache County,4001,35,268
08/26/2020,02/01/2020,08/22/2020,AZ,Cochise County,4003,24,632
08/26/2020,02/01/2020,08/22/2020,AZ,Coconino County,4005,119,730
08/26/2020,02/01/2020,08/22/2020,AZ,Gila County,4007,24,431
08/26/2020,02/01/2020,08/22/2020,AZ,Graham County,4009,16,189
08/26/2020,02/01/2020,08/22/2020,AZ,Maricopa County,4013,2849,25020
08/26/2020,02/01/2020,08/22/2020,AZ,Mohave County,4015,163,2087
08/26/2020,02/01/2020,08/22/2020,AZ,Navajo County,4017,55,624
08/26/2020,02/01/2020,08/22/2020,AZ,Pima County,4019,649,7240
08/26/2020,02/01/2020,08/22/2020,AZ,Pinal County,4021,67,1588
08/26/2020,02/01/2020,08/22/2020,AZ,Yavapai County,4025,69,1855
08/26/2020,02/01/2020,08/22/2020,AZ,Yuma County,4027,276,1316
