cbg,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,year,fips,county,yvar,yvar_cut,city,population,geometry,pop_density,dense,sparse
060014030001,06,001,403000,1,1500000US060014030001,060014030001,1,BG,146630,0,2019,06001,Alameda,5.014114609210914,"(5,Inf]",TRUE,140,"list(list(c(-122.274757, -122.271274, -122.268798, -122.2714, -122.272569, -122.273498, -122.274757, 37.798833, 37.804361, 37.803427, 37.799261, 37.799712, 37.79826, 37.798833)))",0.9547841505831004,TRUE,FALSE
060014030002,06,001,403000,2,1500000US060014030002,060014030002,2,BG,205764,0,2019,06001,Alameda,8.155948844184138,"(5,Inf]",TRUE,100,"list(list(c(-122.274757, -122.273498, -122.272569, -122.2714, -122.268798, -122.266458, -122.267312, -122.269879, -122.27014, -122.275061, -122.274757, 37.798833, 37.79826, 37.799712, 37.799261, 37.803427, 37.802497, 37.801081, 37.796937, 37.796524, 37.798321, 37.798833)))",0.4859936626426391,TRUE,FALSE
060014031001,06,001,403100,1,1500000US060014031001,060014031001,1,BG,346852,0,2019,06001,Alameda,5.2086858117113914,"(5,Inf]",TRUE,251,"list(list(c(-122.279564, -122.275979, -122.273605, -122.271274, -122.274757, -122.275061, -122.278536, -122.279564, 37.800449, 37.806222, 37.805295, 37.804361, 37.798833, 37.798321, 37.799654, 37.800449)))",0.7236515862673417,TRUE,FALSE
060014034001,06,001,403400,1,1500000US060014034001,060014034001,1,BG,489612,602434,2019,06001,Alameda,3.9392127182475285,"(3,4]",TRUE,68,"list(list(c(-122.266018, -122.263163, -122.262463, -122.260591, -122.260213, -122.258549, -122.256158, -122.255535, -122.252774, -122.250469, -122.249148, -122.250597, -122.253447, -122.254073, -122.254468, -122.254505, -122.257805, -122.259554, -122.260417, -122.263752, -122.262903, -122.261318, -122.262394, -122.263575, -122.264778, -122.266018, 37.806958, 37.808899, 37.810945, 37.810676, 37.810523, 37.809408, 37.809012, 37.807634, 37.808747, 37.808882, 37.808391, 37.805237, 37.803608, 37.802521, 
37.801838, 37.800561, 37.799704, 37.798301, 37.798333, 37.7997, 37.801101, 37.80363, 37.804196, 37.804656, 37.805119, 37.806958)))",0.062268439241570404,FALSE,TRUE
060014035013,06,001,403501,3,1500000US060014035013,060014035013,3,BG,117493,0,2019,06001,Alameda,4.153405148067457,"(4,5]",TRUE,22,"list(list(c(-122.25868, -122.254946, -122.254566, -122.254479, -122.257124, -122.260006, -122.25868, 37.824515, 37.82208, 37.821528, 37.819625, 37.821183, 37.822421, 37.824515)))",0.1872451975862392,FALSE,FALSE
060014041022,06,001,404102,2,1500000US060014041022,060014041022,2,BG,82816,0,2020,06001,Alameda,3.043716060985798,"(3,4]",TRUE,110,"list(list(c(-122.256203, -122.252453, -122.251202, -122.249899, -122.253357, -122.253441, -122.256742, -122.256203, 37.828483, 37.826373, 37.8273, 37.826359, 37.825164, 37.825715, 37.827628, 37.828483)))",1.328245749613601,TRUE,FALSE
060014045024,06,001,404502,4,1500000US060014045024,060014045024,4,BG,1079097,0,2019,06001,Alameda,3.3535595545886943,"(3,4]",TRUE,106,"list(list(c(-122.215197, -122.214548, -122.211145, -122.209933, -122.211426, -122.207995, -122.207668, -122.203534, -122.201328, -122.199987, -122.200766, -122.198599, -122.19914, -122.196435, -122.192109, -122.194015, -122.198928, -122.201478, -122.203344, -122.207389, -122.209042, -122.207365, -122.212634, -122.215781, -122.215197, 37.831689, 37.832793, 37.829879, 37.83111, 37.832506, 37.832023, 37.832819, 37.834087, 37.833896, 37.833578, 37.83325, 37.832706, 37.834085, 37.831981, 37.833914, 37.832052, 
37.830244, 37.828702, 37.823738, 37.824847, 37.824436, 37.821647, 37.82809, 37.83126, 37.831689)))",0.09823027957634949,FALSE,TRUE
060014060001,06,001,406000,1,1500000US060014060001,060014060001,1,BG,1617848,467979,2019,06001,Alameda,3.2475837109775685,"(3,4]",TRUE,71,"list(list(c(-122.264448, -122.263018, -122.261327, -122.257033, -122.252225, -122.250636, -122.248014, -122.247175, -122.245238, -122.241044, -122.2359, -122.238723, -122.237421, -122.236318, -122.235862, -122.236566, -122.24362, -122.244817, -122.245219, -122.246591, -122.251332, -122.25478, -122.256936, -122.259338, -122.26838, -122.264448, 37.790678, 37.790816, 37.793807, 37.792537, 37.790279, 37.791427, 37.790626, 37.789913, 37.788992, 37.786487, 37.78341, 37.783516, 37.782134, 37.776643, 37.772645, 
37.771731, 37.776445, 37.779123, 37.783033, 37.784679, 37.786881, 37.786728, 37.785733, 37.784755, 37.788028, 37.790678)))",0.03403925637169333,FALSE,TRUE
060014061001,06,001,406100,1,1500000US060014061001,060014061001,1,BG,538610,0,2019,06001,Alameda,5.630878643447043,"(5,Inf]",TRUE,64,"list(list(c(-122.229093, -122.227853, -122.225803, -122.220855, -122.218938, -122.214794, -122.21714, -122.226994, -122.228015, -122.233316, -122.229093, 37.779343, 37.778614, 37.777643, 37.77526, 37.774348, 37.772376, 37.770585, 37.775237, 37.77314, 37.775093, 37.779343)))",0.11882438127773343,FALSE,FALSE
060014061001,06,001,406100,1,1500000US060014061001,060014061001,1,BG,538610,0,2020,06001,Alameda,3.438023488083758,"(3,4]",TRUE,64,"list(list(c(-122.229093, -122.227853, -122.225803, -122.220855, -122.218938, -122.214794, -122.21714, -122.226994, -122.228015, -122.233316, -122.229093, 37.779343, 37.778614, 37.777643, 37.77526, 37.774348, 37.772376, 37.770585, 37.775237, 37.77314, 37.775093, 37.779343)))",0.11882438127773343,FALSE,FALSE
