"","year","quant","group","Value","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2021,0.95,4,9.76524968552194,3.16357109500931,3.08678053764213,0.00202827702988695
"mean_high_c",2021,0.95,4,-0.126444647339959,0.0878264267904308,-1.43971071078273,0.149977024650942
"(Intercept)",2020,0.25,5,-0.420220010476691,0.0643745211698744,-6.52773803734858,6.8818284404415e-11
"mean_high_c",2020,0.25,5,0.0212204315985168,0.00172032746970583,12.3351117576152,0
"(Intercept)",2021,0.25,5,1.02910178754532,0.157485563625153,6.53457855981511,6.67716992808209e-11
"mean_high_c",2021,0.25,5,-0.0139747777460649,0.00441589740506967,-3.16465181686993,0.00155715734800599
"(Intercept)",2020,0.5,5,0.15379509379509,0.0615694452148811,2.49791261328303,0.012502851001305
"mean_high_c",2020,0.5,5,0.0132756132756134,0.0016824823420814,7.89049189020914,3.10862446895044e-15
"(Intercept)",2021,0.5,5,2.00327385824194,0.171105271125961,11.7078442122757,0
"mean_high_c",2021,0.5,5,-0.0294647241774432,0.00478127425567379,-6.16252542770963,7.42446104595729e-10
"(Intercept)",2020,0.75,5,0.791257840501791,0.127088591826077,6.22603358124106,4.90558704768773e-10
"mean_high_c",2020,0.75,5,0.00660842293906813,0.003476320036074,1.90098232340293,0.0573226276926877
"(Intercept)",2021,0.75,5,3.59703851492019,0.332172682325396,10.8288209907537,0
"mean_high_c",2021,0.75,5,-0.0576181663967923,0.00913401010120221,-6.30809094345194,2.93974622422866e-10
"(Intercept)",2020,0.95,5,3.68965517241379,0.705950725938627,5.22650524582724,1.74956849674501e-07
"mean_high_c",2020,0.95,5,-0.0344827586206895,0.0188122309449715,-1.83299677329906,0.0668219818106235
"(Intercept)",2021,0.95,5,8.58566623156044,1.53968792758352,5.57623793610911,2.5190886709936e-08
"mean_high_c",2021,0.95,5,-0.13259328463972,0.0426618618032748,-3.10800511358699,0.00188862322163019
