Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
09/30/2020,02/01/2020,09/26/2020,AL,Etowah County,1055,120,1135
09/30/2020,02/01/2020,09/26/2020,AL,Pike County,1109,14,200
09/30/2020,02/01/2020,09/26/2020,AL,Shelby County,1117,69,963
09/30/2020,02/01/2020,09/26/2020,AR,Chicot County,5017,11,73
09/30/2020,02/01/2020,09/26/2020,AR,White County,5145,25,607
09/30/2020,02/01/2020,09/26/2020,AZ,Navajo County,4017,58,718
09/30/2020,02/01/2020,09/26/2020,CA,Stanislaus County,6099,434,3799
09/30/2020,02/01/2020,09/26/2020,CO,Denver County,8031,321,3792
09/30/2020,02/01/2020,09/26/2020,DC,District of Columbia,11001,756,4805
09/30/2020,02/01/2020,09/26/2020,FL,Brevard County,12009,318,5357
09/30/2020,02/01/2020,09/26/2020,FL,Highlands County,12055,89,1275
09/30/2020,02/01/2020,09/26/2020,FL,Marion County,12083,246,3776
09/30/2020,02/01/2020,09/26/2020,FL,Osceola County,12097,191,1843
09/30/2020,02/01/2020,09/26/2020,FL,Pinellas County,12103,727,9248
09/30/2020,02/01/2020,09/26/2020,FL,Santa Rosa County,12113,40,837
09/30/2020,02/01/2020,09/26/2020,FL,Walton County,12131,30,443
09/30/2020,02/01/2020,09/26/2020,GA,Berrien County,13019,10,107
09/30/2020,02/01/2020,09/26/2020,GA,Cobb County,13067,406,3808
09/30/2020,02/01/2020,09/26/2020,GA,Grady County,13131,16,133
09/30/2020,02/01/2020,09/26/2020,GA,Jefferson County,13163,11,112
09/30/2020,02/01/2020,09/26/2020,GA,Lamar County,13171,13,101
09/30/2020,02/01/2020,09/26/2020,GA,Oconee County,13219,15,245
09/30/2020,02/01/2020,09/26/2020,GA,Paulding County,13223,32,546
09/30/2020,02/01/2020,09/26/2020,GA,Thomas County,13275,95,528
09/30/2020,02/01/2020,09/26/2020,GA,Ware County,13299,69,455
09/30/2020,02/01/2020,09/26/2020,HI,Honolulu County,15003,114,5458
09/30/2020,02/01/2020,09/26/2020,IA,Jasper County,19099,23,204
09/30/2020,02/01/2020,09/26/2020,IA,Story County,19169,26,426
09/30/2020,02/01/2020,09/26/2020,IA,Winnebago County,19189,11,68
09/30/2020,02/01/2020,09/26/2020,ID,Shoshone County,16079,13,82
09/30/2020,02/01/2020,09/26/2020,IL,McHenry County,17111,82,1198
09/30/2020,02/01/2020,09/26/2020,IL,Peoria County,17143,82,2027
09/30/2020,02/01/2020,09/26/2020,IL,Rock Island County,17161,61,1090
09/30/2020,02/01/2020,09/26/2020,IN,De Kalb County,18033,13,273
09/30/2020,02/01/2020,09/26/2020,IN,Madison County,18095,80,969
09/30/2020,02/01/2020,09/26/2020,IN,Newton County,18111,10,80
09/30/2020,02/01/2020,09/26/2020,IN,Wayne County,18177,25,747
09/30/2020,02/01/2020,09/26/2020,KS,Sedgwick County,20173,162,3960
09/30/2020,02/01/2020,09/26/2020,KY,Pike County,21195,18,811
09/30/2020,02/01/2020,09/26/2020,LA,Ascension Parish,22005,31,386
09/30/2020,02/01/2020,09/26/2020,LA,Bossier Parish,22015,66,668
09/30/2020,02/01/2020,09/26/2020,LA,Claiborne Parish,22027,14,110
09/30/2020,02/01/2020,09/26/2020,LA,Lincoln Parish,22061,55,333
09/30/2020,02/01/2020,09/26/2020,AK,Fairbanks North Star Borough,2090,10,298
09/30/2020,02/01/2020,09/26/2020,AL,Butler County,1013,25,150
09/30/2020,02/01/2020,09/26/2020,AL,Covington County,1039,55,390
09/30/2020,02/01/2020,09/26/2020,AL,Elmore County,1051,32,457
09/30/2020,02/01/2020,09/26/2020,AL,Escambia County,1053,19,249
09/30/2020,02/01/2020,09/26/2020,AL,Lauderdale County,1077,56,950
09/30/2020,02/01/2020,09/26/2020,AL,Mobile County,1097,383,3561
09/30/2020,02/01/2020,09/26/2020,AL,Tallapoosa County,1123,66,366
09/30/2020,02/01/2020,09/26/2020,AL,Tuscaloosa County,1125,197,1599
09/30/2020,02/01/2020,09/26/2020,AL,Walker County,1127,64,703
09/30/2020,02/01/2020,09/26/2020,AR,Jefferson County,5069,76,663
09/30/2020,02/01/2020,09/26/2020,AR,Little River County,5081,23,113
09/30/2020,02/01/2020,09/26/2020,AZ,Pima County,4019,721,8438
09/30/2020,02/01/2020,09/26/2020,CA,Inyo County,6027,14,132
09/30/2020,02/01/2020,09/26/2020,CA,Madera County,6039,80,699
09/30/2020,02/01/2020,09/26/2020,CA,San Francisco County,6075,110,4199
09/30/2020,02/01/2020,09/26/2020,CA,Shasta County,6089,13,1612
09/30/2020,02/01/2020,09/26/2020,CA,Solano County,6095,88,2316
09/30/2020,02/01/2020,09/26/2020,CO,Jefferson County,8059,244,3439
09/30/2020,02/01/2020,09/26/2020,CO,Weld County,8123,121,1194
09/30/2020,02/01/2020,09/26/2020,FL,Citrus County,12017,75,1926
09/30/2020,02/01/2020,09/26/2020,FL,Clay County,12019,99,1586
09/30/2020,02/01/2020,09/26/2020,FL,Columbia County,12023,67,727
09/30/2020,02/01/2020,09/26/2020,FL,Duval County,12031,558,7406
09/30/2020,02/01/2020,09/26/2020,FL,Manatee County,12081,320,3256
09/30/2020,02/01/2020,09/26/2020,FL,Monroe County,12087,14,375
09/30/2020,02/01/2020,09/26/2020,FL,Suwannee County,12121,18,248
09/30/2020,02/01/2020,09/26/2020,FL,Washington County,12133,20,200
09/30/2020,02/01/2020,09/26/2020,GA,Candler County,13043,14,93
09/30/2020,02/01/2020,09/26/2020,GA,Carroll County,13045,67,825
09/30/2020,02/01/2020,09/26/2020,GA,Gordon County,13129,28,365
09/30/2020,02/01/2020,09/26/2020,GA,Jenkins County,13165,14,58
09/30/2020,02/01/2020,09/26/2020,GA,Lowndes County,13185,139,857
09/30/2020,02/01/2020,09/26/2020,GA,Newton County,13217,51,537
09/30/2020,02/01/2020,09/26/2020,GA,Troup County,13285,90,590
09/30/2020,02/01/2020,09/26/2020,IA,Dallas County,19049,35,300
09/30/2020,02/01/2020,09/26/2020,IA,Dubuque County,19061,43,651
09/30/2020,02/01/2020,09/26/2020,IA,Johnson County,19103,81,1237
09/30/2020,02/01/2020,09/26/2020,IA,Washington County,19183,11,153
09/30/2020,02/01/2020,09/26/2020,ID,Nez Perce County,16069,23,378
09/30/2020,02/01/2020,09/26/2020,IL,Boone County,17007,11,226
09/30/2020,02/01/2020,09/26/2020,IL,Jackson County,17077,44,423
09/30/2020,02/01/2020,09/26/2020,IL,Kane County,17089,280,2525
09/30/2020,02/01/2020,09/26/2020,IN,Floyd County,18043,82,750
09/30/2020,02/01/2020,09/26/2020,IN,Johnson County,18081,89,823
09/30/2020,02/01/2020,09/26/2020,IN,Knox County,18083,17,337
09/30/2020,02/01/2020,09/26/2020,IN,Marion County,18097,942,7580
09/30/2020,02/01/2020,09/26/2020,IN,St. Joseph County,18141,108,2062
09/30/2020,02/01/2020,09/26/2020,IN,Tipton County,18159,25,126
09/30/2020,02/01/2020,09/26/2020,IN,Warrick County,18173,31,648
09/30/2020,02/01/2020,09/26/2020,KS,Douglas County,20045,16,530
