Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
08/12/2020,02/01/2020,08/08/2020,AL,Autauga County,1001,17,264
08/12/2020,02/01/2020,08/08/2020,AL,Baldwin County,1003,21,1064
08/12/2020,02/01/2020,08/08/2020,AL,Butler County,1013,21,128
08/12/2020,02/01/2020,08/08/2020,AL,Calhoun County,1015,13,785
08/12/2020,02/01/2020,08/08/2020,AL,Colbert County,1033,17,324
08/12/2020,02/01/2020,08/08/2020,AL,Covington County,1039,34,295
08/12/2020,02/01/2020,08/08/2020,AL,Cullman County,1043,15,522
08/12/2020,02/01/2020,08/08/2020,AL,Dale County,1045,28,249
08/12/2020,02/01/2020,08/08/2020,AL,Dallas County,1047,25,250
08/12/2020,02/01/2020,08/08/2020,AL,Elmore County,1051,28,375
08/12/2020,02/01/2020,08/08/2020,AL,Etowah County,1055,43,833
08/12/2020,02/01/2020,08/08/2020,AL,Franklin County,1059,10,165
08/12/2020,02/01/2020,08/08/2020,AL,Houston County,1069,104,1024
08/12/2020,02/01/2020,08/08/2020,AL,Jefferson County,1073,324,5121
08/12/2020,02/01/2020,08/08/2020,AL,Lauderdale County,1077,19,731
08/12/2020,02/01/2020,08/08/2020,AL,Lee County,1081,94,677
08/12/2020,02/01/2020,08/08/2020,AL,Limestone County,1083,19,398
08/12/2020,02/01/2020,08/08/2020,AL,Madison County,1089,52,2109
08/12/2020,02/01/2020,08/08/2020,AL,Marengo County,1091,12,136
08/12/2020,02/01/2020,08/08/2020,AL,Marion County,1093,16,215
08/12/2020,02/01/2020,08/08/2020,AL,Marshall County,1095,33,627
08/12/2020,02/01/2020,08/08/2020,AL,Mobile County,1097,249,2785
08/12/2020,02/01/2020,08/08/2020,AL,Montgomery County,1101,225,1688
08/12/2020,02/01/2020,08/08/2020,AL,Morgan County,1103,22,701
08/12/2020,02/01/2020,08/08/2020,AL,Pike County,1109,11,162
08/12/2020,02/01/2020,08/08/2020,AL,Shelby County,1117,34,715
08/12/2020,02/01/2020,08/08/2020,AL,Tallapoosa County,1123,62,309
08/12/2020,02/01/2020,08/08/2020,AL,Tuscaloosa County,1125,117,1202
08/12/2020,02/01/2020,08/08/2020,AL,Walker County,1127,44,535
08/12/2020,02/01/2020,08/08/2020,AK,Anchorage Borough,2020,13,1002
08/12/2020,02/01/2020,08/08/2020,AZ,Apache County,4001,27,238
08/12/2020,02/01/2020,08/08/2020,AZ,Cochise County,4003,22,587
08/12/2020,02/01/2020,08/08/2020,AZ,Coconino County,4005,114,674
08/12/2020,02/01/2020,08/08/2020,AZ,Gila County,4007,20,404
08/12/2020,02/01/2020,08/08/2020,AZ,Graham County,4009,11,176
08/12/2020,02/01/2020,08/08/2020,AZ,Maricopa County,4013,2386,22981
08/12/2020,02/01/2020,08/08/2020,AZ,Mohave County,4015,139,1931
08/12/2020,02/01/2020,08/08/2020,AZ,Navajo County,4017,50,583
08/12/2020,02/01/2020,08/08/2020,AZ,Pima County,4019,567,6705
08/12/2020,02/01/2020,08/08/2020,AZ,Pinal County,4021,58,1468
08/12/2020,02/01/2020,08/08/2020,AZ,Yavapai County,4025,62,1724
08/12/2020,02/01/2020,08/08/2020,AZ,Yuma County,4027,249,1206
08/12/2020,02/01/2020,08/08/2020,AR,Benton County,5007,72,1009
08/12/2020,02/01/2020,08/08/2020,AR,Craighead County,5031,31,1005
08/12/2020,02/01/2020,08/08/2020,AR,Crittenden County,5035,13,171
08/12/2020,02/01/2020,08/08/2020,AR,Faulkner County,5045,10,522
08/12/2020,02/01/2020,08/08/2020,AR,Garland County,5051,26,898
08/12/2020,02/01/2020,08/08/2020,AR,Jefferson County,5069,45,499
08/12/2020,02/01/2020,08/08/2020,AR,Pulaski County,5119,133,3312
08/12/2020,02/01/2020,08/08/2020,AR,Sebastian County,5131,22,1123
08/12/2020,02/01/2020,08/08/2020,AR,Union County,5139,12,283
08/12/2020,02/01/2020,08/08/2020,AR,Washington County,5143,69,1222
08/12/2020,02/01/2020,08/08/2020,CA,Alameda County,6001,205,5660
08/12/2020,02/01/2020,08/08/2020,CA,Contra Costa County,6013,110,4287
08/12/2020,02/01/2020,08/08/2020,CA,Fresno County,6019,156,4197
08/12/2020,02/01/2020,08/08/2020,CA,Imperial County,6025,129,636
08/12/2020,02/01/2020,08/08/2020,CA,Kern County,6029,167,3488
08/12/2020,02/01/2020,08/08/2020,CA,Kings County,6031,73,526
08/12/2020,02/01/2020,08/08/2020,CA,Los Angeles County,6037,4203,39539
08/12/2020,02/01/2020,08/08/2020,CA,Madera County,6039,30,507
08/12/2020,02/01/2020,08/08/2020,CA,Marin County,6041,50,1067
08/12/2020,02/01/2020,08/08/2020,CA,Merced County,6047,19,834
08/12/2020,02/01/2020,08/08/2020,CA,Monterey County,6053,26,1433
08/12/2020,02/01/2020,08/08/2020,CA,Napa County,6055,12,670
08/12/2020,02/01/2020,08/08/2020,CA,Orange County,6059,766,11722
08/12/2020,02/01/2020,08/08/2020,CA,Placer County,6061,34,2084
08/12/2020,02/01/2020,08/08/2020,CA,Riverside County,6065,829,10097
08/12/2020,02/01/2020,08/08/2020,CA,Sacramento County,6067,139,6623
08/12/2020,02/01/2020,08/08/2020,CA,San Bernardino County,6071,580,8584
08/12/2020,02/01/2020,08/08/2020,CA,San Diego County,6073,701,12758
08/12/2020,02/01/2020,08/08/2020,CA,San Francisco County,6075,73,3325
